NOME,PAIS,CIDADE,ESTADO,STATUS,Site,Twitter,Linkedin,Profile vExpert Directory
Ivanildo Galvão,Brazil,Natal,RN,new,http://www.ivanildogalvao.com.br/,https://twitter.com/ivanildogalvao,https://www.linkedin.com/in/ivanildo-teixeira-galv%C3%A3o-3b15a226/,https://vexpert.vmware.com/directory/2037
Luciano Gomes,Brazil,Rio de Janeiro,RJ,new,,https://twitter.com/lucgovmw,https://www.linkedin.com/in/lucgomes/,https://vexpert.vmware.com/directory/1816
Maurício Harley,Brazil,Fortaleza,CE,new,https://itharley.com/,https://twitter.com/mauricioharley,https://www.linkedin.com/in/mauricioharley/,https://vexpert.vmware.com/directory/1958
Nairo Mendonça,Brazil,Porto Alegre,RS,new,http://vcorpit.com.br/,https://twitter.com/nathanpinotti,https://www.linkedin.com/in/nairomendonca/,https://vexpert.vmware.com/directory/1877
Nathan Pinotti,Brazil,Linhares,ES,new,http://nathanpinotti.azurewebsites.net/,https://twitter.com/nathanpinotti,https://www.linkedin.com/in/nathanpinotti/,https://vexpert.vmware.com/directory/2178
Paulo Sant'anna,Brazil,Rio de Janeiro,RJ,new,https://paulosantanna.com/,https://twitter.com/paulo_santanna,https://www.linkedin.com/in/paulosantanna/,https://vexpert.vmware.com/directory/2131
Tarsio Moraes,Brazil,São Paulo,SP,new,http://tarsiomoraes.com.br/,https://twitter.com/tarsio,https://www.linkedin.com/in/tarsiomoraes/,https://vexpert.vmware.com/directory/2048
Alexandro Prado,Brazil,Rio de Janeiro,RJ,vet,https://alexandroprado.com/,https://twitter.com/alexandroprado,,https://vexpert.vmware.com/directory/110
Caio Oliveira,Brazil,São Paulo,SP,vet,http://oliveirac.com.br/blog/,https://twitter.com/oliveirac_caio,https://www.linkedin.com/in/caiosa/,https://vexpert.vmware.com/directory/105
Camo� Gomes de Aguiar,Brazil,Natal,RN,vet,,https://twitter.com/camoigomes,,https://vexpert.vmware.com/directory/98
Eduardo Meirelles,Brazil,São Paulo,SP,vet,http://www.justait.net/,https://twitter.com/dumeirell,https://www.linkedin.com/in/emeirell/,https://vexpert.vmware.com/directory/104
Erik Filippini,Brazil,Porto Alegre,RS,vet,https://efilippini.wordpress.com/,https://twitter.com/erik_filippini,https://www.linkedin.com/in/erikfilippini/,https://vexpert.vmware.com/directory/97
Fernando Silva,Brazil,Brasília,DF,vet,http://vmnetbrasil.com.br/,https://twitter.com/vmnetbrasil,,https://vexpert.vmware.com/directory/108
Joao Castro Souza,Brazil,São Paulo,SP,vet,http://p2v.com.br/,https://twitter.com/Jcjr22,https://www.linkedin.com/in/joaocsjr/,https://vexpert.vmware.com/directory/92
John Costa de Araújo,Brazil,Belo Horizonte,MG,vet,https://www.youtube.com/expertemti,https://twitter.com/johncostaaraujo,https://www.linkedin.com/in/john-costa-araujo/,https://vexpert.vmware.com/directory/2186
Pedro Calixto,Brazil,Brasília,DF,vet,http://blog.pedrocalixto.com/,https://twitter.com/BlogPCalixto,https://www.linkedin.com/in/pedrocalixto/,https://vexpert.vmware.com/directory/89
Ricardo Conzatti,Brazil,Curitiba,PA,vet,https://solutions4crowds.com.br/,https://twitter.com/ricardoconzatti,https://www.linkedin.com/in/ricardoconzatti/,https://vexpert.vmware.com/directory/93
Richardson Porto,Brazil,Fortaleza,CE,vet,https://communities.vmware.com/people/rcporto,https://twitter.com/richardsonporto,https://www.linkedin.com/in/richardsonporto/,https://vexpert.vmware.com/directory/107
Rodrigo Lira,Brazil,Jo�o Pessoa,PB,vet,http://rodrigolira.eti.br/,https://twitter.com/eurodrigolira,https://www.linkedin.com/in/eurodrigolira/,https://vexpert.vmware.com/directory/101
Rodrigo Rovere,Brazil,Campinas,SP,vet,http://www.ciscoredes.com.br/,https://twitter.com/blogciscoredes,https://www.linkedin.com/in/rodrigorovere/,https://vexpert.vmware.com/directory/111
Roterdan Macedo,Brazil,Teresina,PI,vet,,https://twitter.com/roterdan,https://www.linkedin.com/in/roterdan/,https://vexpert.vmware.com/directory/102
Trond Eirik Haavarstein,Brazil,Fortaleza,CE,vet,https://xenappblog.com/,https://twitter.com/xenappblog,,https://vexpert.vmware.com/directory/99
Valdecir Carvalho,Brazil,São Paulo,SP,vet,http://homelaber.com.br/,https://twitter.com/homelaber,https://www.linkedin.com/in/valdecircarvalho/,https://vexpert.vmware.com/directory/91
Wesley Martins Silva,Brazil,São Paulo,SP,vet,http://www.itproland.com.br/,https://twitter.com/wesmrt,https://www.linkedin.com/in/wesleyms/,https://vexpert.vmware.com/directory/109
